"","Date","Temp","StartTime","EndTime","Duration","FileName","File","Total","Frame#","Dir","R(m)","Theta","Length","dR(cm)","L/dR","Aspect","Time","Date","Pan","Tilt","Roll","Species","Motion","Motion2","Q","N"
"1","2024-07-04","12","16:00:00","04:19:59",-12,"D:\2024 Salcha River Tower/ARIS_2024_07_04/FCe_2024 Salcha River Tower_2024-07-04_160000_ID_.txt","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2024-07-04","12","17:00:00","05:19:59",-12,"D:\2024 Salcha River Tower/ARIS_2024_07_04/FCe_2024 Salcha River Tower_2024-07-04_170000_ID_.txt","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2024-07-04","12","18:00:00","06:19:59",-12,"D:\2024 Salcha River Tower/ARIS_2024_07_04/FCe_2024 Salcha River Tower_2024-07-04_180000_ID_.txt","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2024-07-04","12","19:00:00","07:19:59",-12,"D:\2024 Salcha River Tower/ARIS_2024_07_04/FCe_2024 Salcha River Tower_2024-07-04_190000_ID_.txt","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"12","20:00:00","08:19:59",-12,"D:\2024 Salcha River Tower/ARIS_2024_07_04/FCe_2024 Salcha River Tower_2024-07-04_200000_ID_.txt","1","1","6385","Up","4.14","-1.1","54.0","0.0","0.00","0.0","20:18:31","2024-07-04",-0.8,-2.68,0,"Unknown","Running","<-->",5,1
"6","2024-07-04","12","21:00:00","09:19:59",-12,"D:\2024 Salcha River Tower/ARIS_2024_07_04/FCe_2024 Salcha River Tower_2024-07-04_210000_ID_.txt","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2024-07-05","12","02:00:00","02:19:59",20,"D:\2024 Salcha River Tower/ARIS_2024_07_05/FCe_2024 Salcha River Tower_2024-07-05_020000_ID_.txt","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,"12","03:00:00","03:19:59",20,"D:\2024 Salcha River Tower/ARIS_2024_07_05/FCe_2024 Salcha River Tower_2024-07-05_030000_ID_.txt","1","1","2411","Up","5.27","-0.9","52.2","0.0","0.00","0.0","03:06:59","2024-07-05",0,-3.6,0,"Unknown","Running","<-->",5,1
"9","2024-07-05","12","04:00:00","04:19:59",20,"D:\2024 Salcha River Tower/ARIS_2024_07_05/FCe_2024 Salcha River Tower_2024-07-05_040000_ID_.txt","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2024-07-05","11","05:00:00","05:19:59",20,"D:\2024 Salcha River Tower/ARIS_2024_07_05/FCe_2024 Salcha River Tower_2024-07-05_050000_ID_.txt","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2024-07-05","11","06:00:00","06:19:59",20,"D:\2024 Salcha River Tower/ARIS_2024_07_05/FCe_2024 Salcha River Tower_2024-07-05_060000_ID_.txt","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2024-07-05","11","07:00:00","07:19:59",20,"D:\2024 Salcha River Tower/ARIS_2024_07_05/FCe_2024 Salcha River Tower_2024-07-05_070000_ID_.txt","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2024-07-05","11","08:00:00","08:19:59",20,"D:\2024 Salcha River Tower/ARIS_2024_07_05/FCe_2024 Salcha River Tower_2024-07-05_080000_ID_.txt","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2024-07-05","11","09:00:00","09:19:59",20,"D:\2024 Salcha River Tower/ARIS_2024_07_05/FCe_2024 Salcha River Tower_2024-07-05_090000_ID_.txt","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2024-07-05","11","10:00:00","10:20:00",20,"D:\2024 Salcha River Tower/ARIS_2024_07_05/FCe_2024 Salcha River Tower_2024-07-05_100000_ID_.txt","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2024-07-05","11","11:00:00","11:19:59",20,"D:\2024 Salcha River Tower/ARIS_2024_07_05/FCe_2024 Salcha River Tower_2024-07-05_110000_ID_.txt","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2024-07-05","11","12:00:00","12:19:59",20,"D:\2024 Salcha River Tower/ARIS_2024_07_05/FCe_2024 Salcha River Tower_2024-07-05_120000_ID_.txt","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2024-07-05","11","13:00:00","01:00:12",-12,"D:\2024 Salcha River Tower/ARIS_2024_07_05/FCe_2024 Salcha River Tower_2024-07-05_130000_ID_.txt","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
