"","DailyEst","DailyVar","DailyMethod","vis_count_raw","vis_count_expanded","vis_var_expansion","vis_nperiods1","vis_nperiods2","vis_nperiods3","sonar_count_raw","sonar_count_expanded","sonar_var_expansion","sonar_nperiods1","sonar_nperiods2","sonar_nperiods3","sonar_var_assign_raw","sonar_var_assign_expanded","sonar_var_total","650thresh_count_raw","650thresh_count_expanded","650thresh_var_expansion","interp_count","interp_var","hierinterp","hierinterp_var"
"2024-06-23",0.00578179730806205,13.0238637792447,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0.00578179730806205,13.0238637792447
"2024-06-24",0.0271211363592392,12.7785520254452,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0.0271211363592392,12.7785520254452
"2024-06-25",0.0126812034284205,15.6461130087793,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0.0126812034284205,15.6461130087793
"2024-06-26",0.0439780097490321,26.9624503768192,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0.0439780097490321,26.9624503768192
"2024-06-27",0.0453344897469823,34.0503538169575,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0.0453344897469823,34.0503538169575
"2024-06-28",0,0,"Visual",0,0,0,0,8,8,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"2024-06-29",0,0,"Visual",0,0,0,0,8,6,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"2024-06-30",0,0,"Visual",0,0,0,0,8,8,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"2024-07-01",0,0,"Visual",0,0,0,0,8,8,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"2024-07-02",0,0,"Visual",0,0,0,8,8,7,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"2024-07-03",0,0,"Visual",0,0,0,7,8,8,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"2024-07-04",0,0,"Visual",0,0,0,8,8,8,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"2024-07-05",3,6.85714285714286,"Visual",1,3,6.85714285714286,8,8,8,4,NA,NA,NA,NA,8,0.0591933493349335,4.79466129612961,NA,2,NA,NA,NA,NA,NA,NA
"2024-07-06",99,594.554900102868,"Sonar",0,NA,NA,0,0,0,33,99,582.857142857143,8,8,8,1.29975080508051,11.6977572457246,594.554900102868,7,21,34.2857142857143,NA,NA,NA,NA
"2024-07-07",42,83.5919253953967,"Sonar",0,NA,NA,0,0,0,14,42,78.8571428571429,8,8,8,0.526086948694869,4.73478253825383,83.5919253953967,5,15,44.5714285714286,NA,NA,NA,NA
"2024-07-08",36.3846153846154,66.7211341437807,"Sonar",0,NA,NA,0,0,0,14,36.3846153846154,62.9945054945055,9,13,8,0.468113481348135,3.72662864927518,66.7211341437807,8,19.8717948717949,59.3186813186813,NA,NA,NA,NA
"2024-07-09",41.1428571428571,77.3215070500928,"Sonar",0,NA,NA,0,0,0,13,41.1428571428571,70.2857142857143,8,7,8,0.728975867586759,7.03579276437848,77.3215070500928,5,16.2857142857143,39.4285714285714,NA,NA,NA,NA
"2024-07-10",69,198.592534473447,"Sonar",1,NA,NA,0,0,5,23,69,192,8,8,8,0.732503830383038,6.59253447344734,198.592534473447,15,45,126.857142857143,NA,NA,NA,NA
"2024-07-11",0,0,"Visual",0,0,0,0,7,6,28,84,373.714285714286,8,8,8,1.69684355435544,15.2715919891989,388.985877703485,12,36,109.714285714286,NA,NA,NA,NA
"2024-07-12",111,810.584678201749,"Sonar",0,NA,NA,7,0,0,21,111,763.628571428571,8,6,NA,1.5206300730073,46.9561067731773,810.584678201749,9,45,286.714285714286,NA,NA,NA,NA
"2024-07-13",83.5,83.5,"Running Avg Interpolation",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,83.5,969.214405211696,48.0857206768047,55825.8586766012
