"","2024-06-23","2024-06-24","2024-06-25","2024-06-26","2024-06-27","2024-06-28","2024-06-29","2024-06-30","2024-07-01","2024-07-02","2024-07-03","2024-07-04","2024-07-05","2024-07-06","2024-07-07","2024-07-08","2024-07-09","2024-07-10","2024-07-11","2024-07-12","2024-07-13","2024-07-14","2024-07-15","2024-07-16","2024-07-17","2024-07-18","2024-07-19","2024-07-20","2024-07-21","2024-07-22","2024-07-23","2024-07-24","2024-07-25","2024-07-26","2024-07-27","2024-07-28","2024-07-29","2024-07-30","2024-07-31","2024-08-01","2024-08-02","2024-08-03","2024-08-04","2024-08-05","2024-08-06","2024-08-07","2024-08-08","2024-08-09","2024-08-10","2024-08-11","2024-08-12","2024-08-13","2024-08-14","2024-08-15","2024-08-16","2024-08-17","2024-08-18","2024-08-19","2024-08-20","2024-08-21"
"2024-06-23",6.56903838695866,0.0281521141494146,0.157075043072282,0.177698555025489,0.0710015869139186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04955467938663,1.66452413006101,22.6698254954985,8.09484978048755,-7.04443302921176,4.45888826786219,-2.85216620666688,0.0314572255126021,-6.92504098098016,-11.385967657684,-0.161120183214132,12.8287798384031,18.1703106141047,-7.577431016752,10.139783394619,7.11301227548961,-8.25954774595556,1.79513059003086,-17.1754038346042,7.9449173055815,-1.32535234033074,-11.04552294246,6.08238801245229,4.79669945880987
"2024-06-24",0.0281521141494146,8.04173064705366,0.0128329504327124,-0.0401369401192816,0.0740265662356397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.098360452034,4.37939964124179,0.964239338541832,13.1166426289375,-7.80172033299632,8.73371408715678,-2.44439450999264,-9.53111956332888,-14.6026627119313,-6.60615720159277,-26.1502102195835,-5.98128996059655,2.02608170056622,5.65863069993638,-26.4098204642314,-17.4954449877942,-27.5847327392538,-5.1875633133073,-2.57999189735463,-1.85769801539981,-20.5130415838095,0.753844894573453,16.6597735218933,-11.1929989020942
"2024-06-25",0.157075043072282,0.0128329504327124,5.65701614199466,0.00847780356912351,0.0873792726450304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0271825808833501,1.08605422036388,18.1367350369086,-2.11454159198771,15.1083758692403,-4.40716370538466,3.46317987248662,2.9383980250227,32.7754610052413,21.4929857173999,-9.71357085987192,4.83032027177811,18.2543589631902,0.304353734880957,30.2844708874388,-5.35841111019859,1.63280496722086,17.3312239983066,15.0934330474795,-3.3647787462371,-3.65073290978277,28.9151403034749,-8.06912882669486,10.5589580728862
"2024-06-26",0.177698555025489,-0.0401369401192816,0.00847780356912351,4.88330912187723,0.0301880076875663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0764940783316304,-3.29162888851593,-5.35872782647812,26.974391897089,2.09682325049206,20.4215887580158,-3.58880949136128,11.0654868217719,9.52030732791755,23.9414886221951,6.77110406966537,11.0731817030767,0.873172393189183,6.58370434141397,39.427633067028,7.65092021456395,-10.4835971011307,-9.1634238694851,-9.00670041349603,25.7184891891813,4.53376381933633,-16.4548266942345,-11.7765461253954,-12.5128170230176
"2024-06-27",0.0710015869139186,0.0740265662356397,0.0873792726450304,0.0301880076875663,6.51245824534557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1412979913064,31.3165379082553,0.840444646950406,28.7585649478338,4.98880792461999,8.88360351837818,14.9909697359912,23.6116970543598,1.28383272239412,28.3834037670778,23.4638049020406,16.8193515038458,16.8240670633683,15.6810132971524,-27.626790544771,-3.53017759954208,-12.4745195483864,-4.22018967763403,10.921162131797,-8.59597799448786,-5.36644065562385,-14.8738378130634,-12.4538757227576,-13.0695862907698
"2024-06-28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-06-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-06-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-02",0,0,0,0,0,0,0,0,0,30.8571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
