,Date,Temp,StartTime,EndTime,Duration,FileName,File,Total,Frame#,Dir,R(m),Theta,Length,dR(cm),L/dR,Aspect,Time,Date,Pan,Tilt,Roll,Species,Motion,Motion2,Q,N
1,7/21/2025,14,0:00:00,12:19:59,12,D:/Chena Towerside 2025/ARIS_2025_07_21/FCe_chena Tower side 2025_2025-07-21_000000_ID_.txt,1,1,483,Up,6.61,5.2,64.9,0,0,0,0:03:14,7/21/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
2,7/21/2025,14,1:00:05,1:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_21/FCe_chena Tower side 2025_2025-07-21_010005_ID_.txt,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,7/21/2025,14,2:00:00,2:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_21/FCe_chena Tower side 2025_2025-07-21_020000_ID_.txt,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,7/21/2025,14,3:00:00,3:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_21/FCe_chena Tower side 2025_2025-07-21_030000_ID_.txt,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,7/21/2025,14,4:00:00,4:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_21/FCe_chena Tower side 2025_2025-07-21_040000_ID_.txt,1,1,319,Up,6.44,0.8,51.4,0,0,0,4:02:09,7/21/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
6,7/21/2025,14,4:00:00,4:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_21/FCe_chena Tower side 2025_2025-07-21_040000_ID_.txt,1,2,1577,Up,6.9,5.2,50.8,0,0,0,4:11:09,7/21/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
7,7/21/2025,14,5:00:00,5:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_21/FCe_chena Tower side 2025_2025-07-21_050000_ID_.txt,1,1,2022,Up,6.81,1.7,45.4,0,0,0,5:14:08,7/21/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
8,7/21/2025,14,5:00:00,5:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_21/FCe_chena Tower side 2025_2025-07-21_050000_ID_.txt,1,2,2178,Up,6.83,4.3,46.5,0,0,0,5:15:10,7/21/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
9,7/21/2025,14,5:00:00,5:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_21/FCe_chena Tower side 2025_2025-07-21_050000_ID_.txt,1,3,2725,Up,5.84,1.4,51,0,0,0,5:18:46,7/21/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
10,7/21/2025,14,6:00:00,6:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_21/FCe_chena Tower side 2025_2025-07-21_060000_ID_.txt,1,1,811,Up,6.39,-4.6,46.8,0,0,0,6:06:18,7/21/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
