Day,Shift,Period 1,2,3,4,5,6,7,8
23-Jun,1,,,,,,,,
23-Jun,2,,,,,,,,
23-Jun,3,,,,,,,,
24-Jun,1,,,,,,,,
24-Jun,2,,,,,,,,
24-Jun,3,,,,,,,,
25-Jun,1,,,,,,,,
25-Jun,2,,,,,,,,
25-Jun,3,,,,,,,,
26-Jun,1,,,,,,,,
26-Jun,2,,,,,,,,
26-Jun,3,,,,,,,,
27-Jun,1,,,,,,,,
27-Jun,2,,,,,,,,
27-Jun,3,,,,,,,,
28-Jun,1,,,,,,,,
28-Jun,2,,,,,,,,
28-Jun,3,,,,,,,,
29-Jun,1,,,,,,,,
29-Jun,2,,,,,,,,
29-Jun,3,,,,,,,,
30-Jun,1,,,,,,,,
30-Jun,2,,,,2,2,2,2,2
30-Jun,3,1,2,2,2,2,2,2,2
1-Jul,1,2,2,2,2,2,2,2,2
1-Jul,2,2,2,2,2,2,2,2,2
1-Jul,3,1,1,1,1,1,1,1,1
2-Jul,1,2,2,2,2,2,2,2,2
2-Jul,2,2,2,2,2,2,2,2,2
2-Jul,3,2,2,3,2,2,2,2,2
3-Jul,1,2,2,2,2,2,2,2,2
3-Jul,2,2,2,2,2,2,2,2,2
3-Jul,3,2,2,2,2,2,2,2,2
4-Jul,1,2,2,2,2,2,2,2,2
4-Jul,2,2,2,2,2,2,2,2,2
4-Jul,3,2,2,2,2,2,2,2,2
5-Jul,1,2,2,2,2,2,2,2,2
5-Jul,2,2,2,2,2,4,3,3,4
5-Jul,3,4,3,3,3,3,3,3,3
6-Jul,1,2,2,2,2,2,2,2,2
6-Jul,2,2,2,2,2,2,2,2,2
6-Jul,3,3,3,3,3,3,3,3,3
7-Jul,1,2,4,5,3,3,2,2,2
7-Jul,2,2,2,2,2,2,2,2,2
7-Jul,3,2,2,2,2,2,2,2,2
8-Jul,1,-1,-1,-1,-1,-1,-1,-1,-1
8-Jul,2,2,2,2,2,2,2,2,2
8-Jul,3,3,-1,2,2,2,2,2,3
9-Jul,1,3,2,2,2,4,3,2,2
9-Jul,2,2,2,2,2,2,2,2,2
9-Jul,3,3,3,2,3,3,2,2,2
10-Jul,1,2,2,2,2,2,2,2,2
10-Jul,2,2,2,2,2,2,2,3,3
10-Jul,3,-1,-1,-1,-1,-1,-1,-1,-1
11-Jul,1,5,5,5,5,5,5,5,5
11-Jul,2,5,5,5,5,5,5,5,5
11-Jul,3,5,5,5,5,5,5,5,5
12-Jul,1,5,5,5,5,5,5,5,5
12-Jul,2,5,5,5,5,5,5,5,5
12-Jul,3,5,5,5,5,5,5,5,5
13-Jul,1,5,5,5,5,5,5,4,4
13-Jul,2,4,4,4,4,4,4,4,4
13-Jul,3,4,4,4,4,4,4,3,3
14-Jul,1,4,4,4,4,4,4,3,3
14-Jul,2,2,2,2,2,2,-1,2,2
14-Jul,3,3,2,3,3,3,2,3,3
15-Jul,1,2,2,3,2,2,2,2,2
15-Jul,2,2,2,2,2,2,2,2,2
15-Jul,3,3,3,2,3,2,2,3,3
16-Jul,1,3,2,2,2,2,2,2,2
16-Jul,2,2,2,2,2,2,2,2,2
