day,chinook,chum,year,julian
1-Jul,81,0,1993,182
2-Jul,78,0,1993,183
3-Jul,194,0,1993,184
4-Jul,77,0,1993,185
5-Jul,405,0,1993,186
6-Jul,220,11,1993,187
7-Jul,432,9,1993,188
8-Jul,243,6,1993,189
9-Jul,297,0,1993,190
10-Jul,603,9,1993,191
11-Jul,828,105,1993,192
12-Jul,1013,72,1993,193
13-Jul,1157,158,1993,194
14-Jul,900,84,1993,195
15-Jul,867,90,1993,196
16-Jul,882,149,1993,197
17-Jul,248,90,1993,198
18-Jul,651,33,1993,199
19-Jul,338,113,1993,200
20-Jul,792,90,1993,201
21-Jul,492,255,1993,202
22-Jul,339,426,1993,203
23-Jul,312,462,1993,204
24-Jul,180,396,1993,205
25-Jul,95,167,1993,206
26-Jul,95,320,1993,207
27-Jul,131,270,1993,208
28-Jul,75,315,1993,209
29-Jul,57,153,1993,210
30-Jul,51,180,1993,211
31-Jul,9,144,1993,212
1-Aug,23,221,1993,213
2-Aug,32,185,1993,214
3-Aug,18,108,1993,215
4-Aug,6,239,1993,216
5-Aug,14,351,1993,217
6-Aug,9,240,1993,218
7-Aug,9,36,1993,219
8-Jul,45,0,1994,189
9-Jul,36,0,1994,190
10-Jul,54,0,1994,191
11-Jul,117,36,1994,192
12-Jul,72,32,1994,193
13-Jul,477,63,1994,194
14-Jul,1347,45,1994,195
15-Jul,1872,131,1994,196
16-Jul,1283,81,1994,197
17-Jul,864,129,1994,198
18-Jul,1116,333,1994,199
19-Jul,716,207,1994,200
20-Jul,561,435,1994,201
21-Jul,624,222,1994,202
22-Jul,288,275,1994,203
23-Jul,230,1211,1994,204
24-Jul,348,549,1994,205
25-Jul,891,473,1994,206
26-Jul,410,657,1994,207
27-Jul,303,576,1994,208
28-Jul,3,24,1994,209
29-Jul,2,30,1994,210
30-Jul,0,36,1994,211
31-Jul,9,135,1994,212
1-Aug,18,308,1994,213
2-Aug,18,308,1994,214
3-Aug,27,482,1994,215
4-Aug,32,351,1994,216
5-Aug,45,243,1994,217
6-Aug,50,671,1994,218
7-Aug,0,171,1994,219
8-Aug,9,90,1994,220
9-Aug,9,711,1994,221
10-Aug,0,509,1994,222
11-Aug,5,306,1994,223
12-Aug,0,158,1994,224
26-Jun,0,0,1997,177
27-Jun,36,0,1997,178
28-Jun,0,0,1997,179
29-Jun,0,0,1997,180
30-Jun,9,0,1997,181
1-Jul,45,0,1997,182
2-Jul,36,0,1997,183
3-Jul,126,0,1997,184
4-Jul,54,0,1997,185
5-Jul,9,0,1997,186
6-Jul,72,0,1997,187
7-Jul,504,6,1997,188
8-Jul,618,18,1997,189
9-Jul,264,0,1997,190
10-Jul,348,24,1997,191
11-Jul,354,66,1997,192
12-Jul,954,0,1997,193
13-Jul,912,54,1997,194
14-Jul,1284,6,1997,195
15-Jul,756,45,1997,196
16-Jul,1992,300,1997,197
17-Jul,1110,318,1997,198
18-Jul,714,144,1997,199
19-Jul,498,138,1997,200
20-Jul,822,246,1997,201
21-Jul,636,390,1997,202
22-Jul,336,414,1997,203
23-Jul,258,672,1997,204
24-Jul,108,684,1997,205
25-Jul,135,378,1997,206
26-Jul,72,315,1997,207
27-Jul,66,522,1997,208
28-Jul,54,540,1997,209
29-Jul,84,1062,1997,210
30-Jul,46,916,1997,211
31-Jul,12,660,1997,212
1-Aug,30,396,1997,213
2-Aug,9,468,1997,214
3-Aug,27,657,1997,215
26-Jun,0,0,1998,177
27-Jun,0,0,1998,178
28-Jun,9,0,1998,179
29-Jun,18,0,1998,180
30-Jun,30,0,1998,181
1-Jul,36,0,1998,182
2-Jul,54,0,1998,183
3-Jul,99,9,1998,184
4-Jul,54,63,1998,185
5-Jul,63,0,1998,186
6-Jul,60,0,1998,187
7-Jul,54,0,1998,188
8-Jul,36,0,1998,189
11-Jul,0,18,1998,192
12-Jul,18,24,1998,193
13-Jul,114,24,1998,194
14-Jul,45,18,1998,195
16-Jul,66,48,1998,197
17-Jul,462,54,1998,198
19-Jul,180,0,1998,200
20-Jul,144,144,1998,201
21-Jul,192,144,1998,202
22-Jul,288,90,1998,203
23-Jul,414,90,1998,204
24-Jul,312,48,1998,205
29-Jul,219,150,1998,210
30-Jul,46,312,1998,211
31-Jul,6,222,1998,212
1-Aug,102,378,1998,213
2-Aug,24,384,1998,214
3-Aug,72,372,1998,215
4-Aug,66,606,1998,216
5-Aug,66,510,1998,217
6-Aug,42,354,1998,218
7-Aug,36,222,1998,219
8-Aug,18,444,1998,220
9-Aug,0,468,1998,221
2-Jul,0,0,1999,183
3-Jul,0,0,1999,184
4-Jul,0,0,1999,185
5-Jul,0,0,1999,186
6-Jul,0,0,1999,187
7-Jul,0,0,1999,188
8-Jul,0,0,1999,189
9-Jul,6,0,1999,190
10-Jul,0,0,1999,191
11-Jul,27,0,1999,192
12-Jul,24,0,1999,193
13-Jul,27,0,1999,194
14-Jul,30,0,1999,195
15-Jul,18,0,1999,196
16-Jul,72,0,1999,197
17-Jul,126,0,1999,198
18-Jul,135,0,1999,199
19-Jul,495,18,1999,200
20-Jul,390,30,1999,201
21-Jul,516,48,1999,202
22-Jul,360,32,1999,203
23-Jul,498,108,1999,204
24-Jul,732,474,1999,205
25-Jul,624,366,1999,206
26-Jul,819,435,1999,207
27-Jul,328,244,1999,208
30-Jul,119,183,1999,211
31-Jul,150,534,1999,212
1-Aug,30,714,1999,213
2-Aug,72,558,1999,214
3-Aug,60,468,1999,215
4-Aug,36,1092,1999,216
5-Aug,30,528,1999,217
6-Aug,38,901,1999,218
7-Aug,30,852,1999,219
8-Aug,72,972,1999,220
30-Jun,0,0,2001,181
1-Jul,0,0,2001,182
2-Jul,0,0,2001,183
3-Jul,0,0,2001,184
4-Jul,0,0,2001,185
5-Jul,9,0,2001,186
6-Jul,9,0,2001,187
7-Jul,0,0,2001,188
10-Jul,87,0,2001,191
11-Jul,77,0,2001,192
12-Jul,711,0,2001,193
13-Jul,459,0,2001,194
14-Jul,531,0,2001,195
16-Jul,198,0,2001,197
17-Jul,495,36,2001,198
18-Jul,1017,108,2001,199
19-Jul,369,126,2001,200
20-Jul,910,195,2001,201
21-Jul,297,207,2001,202
22-Jul,639,360,2001,203
23-Jul,693,351,2001,204
24-Jul,990,396,2001,205
25-Jul,432,477,2001,206
26-Jul,567,1242,2001,207
27-Jul,420,780,2001,208
28-Jul,261,405,2001,209
29-Jul,72,90,2001,210
23-Jun,0,0,2004,174
24-Jun,0,0,2004,175
25-Jun,18,0,2004,176
26-Jun,9,0,2004,177
27-Jun,36,0,2004,178
28-Jun,84,0,2004,179
4-Jul,36,0,2004,185
5-Jul,240,12,2004,186
6-Jul,816,18,2004,187
7-Jul,432,12,2004,188
