Day,Shift,Period 1,2,3,4,5,6,7,8,Sydij,Sydi,mdi,md,Mdi,Md,hdi,hd,Hd,Ydi=Mdi/mdi*Sydij,Yd(avg)=SYdi/hd,N^d=Yd(avg)*Hd,,,,(ydij - ydij-1)2,,,,S(RDS)2,s22di,(Ydi - Yd (avg))2,s21d,f1d,(1-f1d)Hd2s1d2/hd,f2di,Mdi2(1-f2di)s2di2/mdi,var(Nd),se,cv
23-Jun,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0, ,,,0,0,,,
23-Jun,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
23-Jun,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
24-Jun,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
24-Jun,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
24-Jun,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
25-Jun,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
25-Jun,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
25-Jun,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
26-Jun,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
26-Jun,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
26-Jun,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
27-Jun,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
27-Jun,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
27-Jun,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
28-Jun,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
28-Jun,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
28-Jun,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
29-Jun,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
29-Jun,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
29-Jun,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
30-Jun,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
30-Jun,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
30-Jun,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
1-Jul,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
1-Jul,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
1-Jul,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
2-Jul,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
2-Jul,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
2-Jul,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
3-Jul,1,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.333333333,0,,,
3-Jul,2,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.333333333,0,,,
3-Jul,3,0,0,0,0,0,0,0,0,0,0,8,24,24,72,1,3,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333,0,0,0,N/A
4-Jul,1,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.333333333,0,,,
4-Jul,2,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.333333333,0,,,
4-Jul,3,0,0,0,0,0,0,0,0,0,0,8,24,24,72,1,3,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333,0,0,0,N/A
5-Jul,1,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.333333333,0,,,
5-Jul,2,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.333333333,0,,,
5-Jul,3,0,0,0,0,,0,0,0,0,0,7,23,24,72,1,3,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.291666667,0,0,0,N/A
6-Jul,1,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.333333333,0,,,
6-Jul,2,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.333333333,0,,,
6-Jul,3,0,,0,0,,0,0,0,0,0,6,22,24,72,1,3,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0,0,N/A
7-Jul,1,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.333333333,0,,,
7-Jul,2,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.333333333,0,,,
7-Jul,3,0,0,0,0,,0,0,0,0,0,7,23,24,72,1,3,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.291666667,0,0,0,N/A
8-Jul,1,0,2,1,0,0,0,0,0,3,,8,,24,,1,,,9,,,4,1,1,0,0,0,0,6,0.428571429,25,,,,0.333333333,20.57142857,,,
8-Jul,2,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,16,,,,0.333333333,0,,,
8-Jul,3,0,0,0,0,0,0,1,0,1,4,8,24,24,72,1,3,3,3,4.00,12,0,0,0,0,0,1,1,2,0.142857143,1,21,1,0,0.333333333,6.857142857,27.42857143,5.237229366,43.64%
9-Jul,1,0,0,4,0,0,0,0,0,4,,8,,24,,1,,,12,,,0,16,16,0,0,0,0,32,2.285714286,25,,,,0.333333333,109.7142857,,,
9-Jul,2,0,0,0,0,0,0,0,,0,,7,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,49,,,,0.291666667,0,,,
9-Jul,3,1,0,0,1,0,1,0,0,3,7,8,23,24,72,1,3,3,9,7.00,21,1,0,1,1,1,1,0,5,0.357142857,4,39,1,0,0.333333333,17.14285714,126.8571429,11.26308763,53.63%
10-Jul,1,0,,,0,0,0,0,0,0,,6,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.25,0,,,
10-Jul,2,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.333333333,0,,,
10-Jul,3,,,,,,,,,0,0,0,14,24,72,0,2,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,N/A
11-Jul,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
11-Jul,2,,0,0,0,1,0,0,0,1,,7,,24,,1,,,3,,,0,0,0,1,1,0,0,2,0.166666667,18.36734694,,,,0.291666667,9.714285714,,,
11-Jul,3,0,1,1,,,,,0,2,3,4,11,24,72,1,2,3,12,7.71,23,1,0,0,0,0,0,0,1,0.166666667,18.36734694,36.73469388,0.666666667,55.10204082,0.166666667,20,99.67346939,9.98366012,43.14%
12-Jul,1,,,,0,1,0,0,1,2,,5,,24,,1,,,10,,,0,0,0,1,1,0,1,3,0.375,12.96,,,,0.208333333,34.2,,,
12-Jul,2,0,0,0,1,1,0,0,0,2,,8,,24,,1,,,6,,,0,0,1,0,1,0,0,2,0.142857143,51.84,,,,0.333333333,6.857142857,,,
