SALCHA CHUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,
,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand
Date,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum
23-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,,,,
24-Jun,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,,,,
25-Jun,,,,,,,,,,,,,,,,,,,,,0,v,0,v,,,,,,,,,,,,,,,,,,,,,,,,,0,v,,,0,v,,,,,,,,,,
26-Jun,,,,,,,,,0,v,0,v,,,,,,,,,0,v,0,v,,,,,,,,,,,,,,,,,,,,,,,0,v,0,v,,,0,v,,,,,,,,,,
27-Jun,,,,,,,,,0,v,0,v,,,,,,,,,0,v,0,v,,,,,,,,,,,,,,,,,,,,,,,0,v,0,v,,,0,v,,,,,,,,,,
28-Jun,,,,,,,,,0,v,0,v,,,,,,,,,0,v,0,v,,,,,,,,,,,,,,,,,,,,,,,0,v,0,v,,,0,v,,,,,,,,,0,v
29-Jun,,,,,,,,,9,v,0,v,,,,,,,0,v,0,v,0,v,,,,,,,,,,,,,,,,,,,,,,,0,v,0,v,,,0,v,,,,,,,,,0,v
30-Jun,,,,,,,,,0,v,0,v,,,0,v,,,0,v,0,v,3,v,0,v,,,0,v,,,,,,,,,,,,,,,,,0,v,5,v,,,0,v,,,0,v,,,,,0,v
1-Jul,0,v,,,,,,,0,v,0,v,,,0,v,0,v,0,v,0,v,0,v,0,v,,,0,v,,,,,0,v,,,,,,,,,,,0,v,0,v,,,0,v,,,0,v,0,v,,,0,v
2-Jul,0,v,,,,,,,45,v,0,v,,,0,v,0,v,0,v,0,v,0,v,0,v,,,0,v,,,,,0,v,,,,,,,,,,,0,v,6,v,,,0,v,,,0,v,0,v,,,9,v
3-Jul,0,v,,,,,,,0,v,0,v,,,0,v,0,v,0,v,0,v,0,v,0,v,,,0,v,,,,,0,v,,,,,,,,,,,3,v,9,v,,,0,v,,,0,v,0,v,,,0,v
4-Jul,0,v,,,,,,,0,v,0,v,,,0,v,0,v,,0,0,v,0,v,0,v,,,0,v,,,,,0,v,,,,,,,,,,,2,s,9,0,,,0,v,,,0,v,0,v,,,3,v
5-Jul,0,v,0,v,0,v,,,0,v,0,v,,,0,v,0,v,,0,0,v,0,v,0,v,,,0,v,0,v,,,0,v,,,,,,,,,,,1,s,7,0,,,0,v,,,0,v,0,v,,,3,v
6-Jul,0,v,0,v,5,v,,,9,v,0,v,,,0,v,0,v,,0,0,v,0,0,0,v,0,v,0,v,0,v,0,v,0,v,,,,,,,,,,,1,s,12,v,,,0,v,,,0,v,0,v,,,0,s
7-Jul,0,v,6,v,27,v,,,0,v,7,v,0,v,0,v,0,0,,0,0,v,0,0,0,v,0,v,0,v,0,v,0,v,0,v,,,,,,,,,,,4,s,0,v,,,0,v,,,0,v,0,v,0,v,0,s
8-Jul,15,v,3,v,15,v,3393,v,24,v,0,v,0,v,0,v,0,0,,0,0,v,0,0,0,v,0,v,0,0,0,v,0,v,0,v,,,,,,,,,,,5,s,3,v,,,6,v,,,21,v,0,v,14,v,0,s
9-Jul,9,v,0,v,24,v,4074,v,48,v,4,0,0,v,0,v,0,0,,0,3,v,6,v,0,v,0,v,0,0,0,v,0,v,0,v,,,,,0,v,,,,,29,s,6,v,,,3,v,,,6,v,0,v,0,v,0,s
10-Jul,32,v,0,v,9,v,2923,v,36,v,9,v,0,v,0,v,0,v,,0,24,v,15,v,0,v,0,v,0,0,0,v,0,v,0,v,,,,,0,v,,,,,91,s,123,v,,,0,v,,,0,v,1,0,0,v,0,s
