SALCHA CHINOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,
,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand
Date,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum
23-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,,,,
24-Jun,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,,,,
25-Jun,,,,,,,,,,,,,,,,,,,,,0,v,9,v,,,,,,,,,,,,,,,,,,,,,,,,,0,v,,,0,v,,,,,,,,,,
26-Jun,,,,,,,,,18,v,0,v,,,,,,,,,42,v,15,v,,,,,,,,,,,,,,,,,,,,,,,9,v,0,v,,,15,v,,,,,,,,,,
27-Jun,,,,,,,,,0,v,0,v,,,,,,,,,150,v,9,v,,,,,,,,,,,,,,,,,,,,,,,0,v,0,v,,,3,v,,,,,,,,,,
28-Jun,,,,,,,,,63,v,0,v,,,,,,,,,30,v,3,v,,,,,,,,,,,,,,,,,,,,,,,6,v,0,v,,,3,v,,,,,,,,,0,v
29-Jun,,,,,,,,,27,v,0,v,,,,,,,9,v,156,v,33,v,,,,,,,,,,,,,,,,,,,,,,,18,v,3,v,,,6,v,,,,,,,,,0,v
30-Jun,,,,,,,,,0,v,0,v,,,0,v,,,66,v,114,v,42,v,0,v,,,0,v,,,,,,,,,,,,,,,,,75,v,41,v,,,24,v,,,0,v,,,,,0,v
1-Jul,63,v,,,,,,,27,v,18,v,,,0,v,0,v,156,v,165,v,12,v,6,v,,,0,v,,,,,0,v,,,,,,,,,,,114,v,27,v,,,0,v,,,30,v,0,v,,,0,v
2-Jul,72,v,,,,,,,324,v,0,v,,,0,v,0,v,123,v,99,v,18,v,12,v,,,15,v,,,,,0,v,,,,,,,,,,,111,v,54,v,,,15,v,,,30,v,0,v,,,0,v
3-Jul,41,v,,,,,,,90,v,48,v,,,0,v,0,v,126,v,159,v,3,v,33,v,,,3,v,,,,,0,v,,,,,,,,,,,111,v,18,v,,,48,v,,,33,v,0,v,,,0,v
4-Jul,78,v,,,,,,,45,v,90,v,,,3,v,0,v,,0,42,v,30,v,54,v,,,0,v,,,,,0,v,,,,,,,,,,,95,s,30,0,,,12,v,,,33,v,3,v,,,0,v
5-Jul,9,v,0,v,0,v,,,63,v,9,v,,,6,v,6,v,,0,291,v,204,v,33,v,,,15,v,0,v,,,0,v,,,,,,,,,,,33,s,14,0,,,33,v,,,90,v,0,v,,,3,v
6-Jul,158,v,15,v,18,v,,,180,v,144,v,0,v,36,v,21,v,,0,510,v,369,0,39,v,18,v,0,v,111,v,24,v,0,v,,,,,,,,,,,29,s,18,v,,,96,v,,,69,v,0,v,0,v,99,s
7-Jul,264,v,33,v,45,v,,,520,v,65,v,0,v,42,v,35,0,,0,663,v,0,0,39,v,12,v,6,v,108,v,39,v,0,v,,,,,,,,,,,49,s,7,v,,,84,v,,,135,v,0,v,16,v,42,s
8-Jul,300,v,48,v,228,v,414,n,612,v,234,v,0,v,12,v,83,0,,0,870,v,14,0,219,v,0,v,13,0,141,v,96,v,0,v,,,,,,,,,,,48,s,29,v,,,36,v,,,122,v,0,v,3,v,36,s
9-Jul,347,v,63,v,150,v,474,n,1782,v,130,0,0,v,45,v,201,0,,0,945,v,195,v,48,v,0,v,25,0,168,v,207,v,15,v,,,,,0,v,,,,,152,s,149,v,,,60,v,,,36,v,9,v,3,v,41,s
10-Jul,212,v,347,v,607,v,288,n,726,v,28,v,3,v,174,v,113,v,,0,1929,v,639,v,144,v,54,v,41,0,192,v,138,v,21,v,,,,,9,v,,,,,348,s,255,v,,,48,v,,,72,v,1,0,3,v,69,s
