day,chinook,chum,year,julian
1-Jul,63,0,1993,182
2-Jul,72,0,1993,183
3-Jul,41,0,1993,184
4-Jul,78,0,1993,185
5-Jul,9,0,1993,186
6-Jul,158,0,1993,187
7-Jul,264,0,1993,188
8-Jul,300,15,1993,189
9-Jul,347,9,1993,190
10-Jul,212,32,1993,191
11-Jul,663,57,1993,192
12-Jul,900,126,1993,193
13-Jul,896,59,1993,194
14-Jul,576,126,1993,195
15-Jul,582,153,1993,196
16-Jul,590,158,1993,197
17-Jul,257,41,1993,198
18-Jul,240,87,1993,199
19-Jul,1013,126,1993,200
20-Jul,432,257,1993,201
21-Jul,588,411,1993,202
22-Jul,396,279,1993,203
23-Jul,378,396,1993,204
24-Jul,195,453,1993,205
25-Jul,194,378,1993,206
26-Jul,54,54,1993,207
27-Jul,131,167,1993,208
28-Jul,87,216,1993,209
29-Jul,50,72,1993,210
30-Jul,32,68,1993,211
31-Jul,57,258,1993,212
1-Aug,45,167,1993,213
2-Aug,32,378,1993,214
3-Aug,27,230,1993,215
4-Aug,14,239,1993,216
5-Aug,14,275,1993,217
6-Aug,9,240,1993,218
7-Aug,9,36,1993,219
5-Jul,0,0,1994,186
6-Jul,15,0,1994,187
7-Jul,33,6,1994,188
8-Jul,48,3,1994,189
9-Jul,63,0,1994,190
10-Jul,347,0,1994,191
11-Jul,383,14,1994,192
12-Jul,387,14,1994,193
13-Jul,1518,222,1994,194
14-Jul,1686,366,1994,195
15-Jul,1778,414,1994,196
16-Jul,1126,302,1994,197
17-Jul,385,124,1994,198
18-Jul,1503,531,1994,199
19-Jul,738,428,1994,200
20-Jul,963,690,1994,201
21-Jul,1203,1122,1994,202
22-Jul,621,977,1994,203
23-Jul,720,1877,1994,204
24-Jul,1050,2406,1994,205
25-Jul,1085,3123,1994,206
26-Jul,486,2696,1994,207
27-Jul,684,2808,1994,208
28-Jul,563,2426,1994,209
29-Jul,306,2115,1994,210
30-Jul,255,2565,1994,211
31-Jul,153,3081,1994,212
1-Aug,27,1107,1994,213
2-Aug,90,1584,1994,214
3-Aug,54,873,1994,215
4-Aug,32,972,1994,216
5-Aug,9,1071,1994,217
6-Aug,21,786,1994,218
7-Aug,32,675,1994,219
8-Aug,14,585,1994,220
9-Aug,18,1130,1994,221
10-Aug,3,957,1994,222
11-Aug,5,972,1994,223
12-Aug,0,432,1994,224
5-Jul,0,0,1995,186
6-Jul,18,5,1995,187
7-Jul,45,27,1995,188
8-Jul,228,15,1995,189
9-Jul,150,24,1995,190
10-Jul,607,9,1995,191
11-Jul,612,68,1995,192
12-Jul,864,262,1995,193
13-Jul,1278,126,1995,194
14-Jul,912,198,1995,195
15-Jul,276,111,1995,196
18-Jul,284,180,1995,199
19-Jul,662,180,1995,200
20-Jul,582,163,1995,201
21-Jul,432,453,1995,202
22-Jul,630,474,1995,203
23-Jul,501,534,1995,204
24-Jul,1485,1004,1995,205
25-Jul,594,729,1995,206
26-Jul,402,858,1995,207
27-Jul,382,1229,1995,208
28-Jul,381,2148,1995,209
29-Jul,266,1548,1995,210
30-Jul,183,1317,1995,211
31-Jul,207,1443,1995,212
1-Aug,165,1929,1995,213
2-Aug,60,1653,1995,214
3-Aug,54,1527,1995,215
4-Aug,33,1797,1995,216
5-Aug,46,1118,1995,217
9-Aug,0,1224,1995,221
10-Aug,0,716,1995,222
11-Aug,10,1358,1995,223
12-Aug,0,1188,1995,224
13-Aug,5,783,1995,225
14-Aug,0,252,1995,226
26-Jun,18,0,1997,177
27-Jun,0,0,1997,178
28-Jun,63,0,1997,179
29-Jun,27,9,1997,180
30-Jun,0,0,1997,181
1-Jul,27,0,1997,182
2-Jul,324,45,1997,183
3-Jul,90,0,1997,184
4-Jul,45,0,1997,185
5-Jul,63,0,1997,186
6-Jul,180,9,1997,187
7-Jul,520,0,1997,188
8-Jul,612,24,1997,189
9-Jul,1782,48,1997,190
10-Jul,726,36,1997,191
11-Jul,1032,6,1997,192
12-Jul,954,45,1997,193
13-Jul,1085,106,1997,194
14-Jul,846,186,1997,195
15-Jul,1566,360,1997,196
17-Jul,1090,432,1997,198
18-Jul,858,924,1997,199
19-Jul,1104,918,1997,200
20-Jul,487,571,1997,201
24-Jul,310,2038,1997,205
25-Jul,194,1265,1997,206
26-Jul,126,675,1997,207
27-Jul,180,732,1997,208
28-Jul,216,2142,1997,209
29-Jul,180,3534,1997,210
30-Jul,168,3828,1997,211
31-Jul,174,2634,1997,212
1-Aug,36,1902,1997,213
2-Aug,18,1836,1997,214
3-Aug,75,1653,1997,215
4-Aug,6,1928,1997,216
5-Aug,38,1872,1997,217
6-Aug,38,1690,1997,218
7-Aug,20,838,1997,219
26-Jun,0,0,1998,177
27-Jun,0,0,1998,178
28-Jun,0,0,1998,179
29-Jun,0,0,1998,180
30-Jun,0,0,1998,181
1-Jul,18,0,1998,182
2-Jul,0,0,1998,183
3-Jul,48,0,1998,184
4-Jul,90,0,1998,185
5-Jul,9,0,1998,186
6-Jul,144,0,1998,187
7-Jul,65,7,1998,188
8-Jul,234,0,1998,189
10-Jul,28,9,1998,191
11-Jul,138,12,1998,192
12-Jul,243,18,1998,193
13-Jul,330,36,1998,194
14-Jul,162,72,1998,195
15-Jul,27,9,1998,196
16-Jul,261,72,1998,197
17-Jul,299,219,1998,198
18-Jul,68,90,1998,199
20-Jul,180,144,1998,201
21-Jul,264,220,1998,202
22-Jul,396,528,1998,203
23-Jul,396,348,1998,204
27-Jul,216,216,1998,208
28-Jul,60,564,1998,209
29-Jul,72,1521,1998,210
31-Jul,36,648,1998,212
1-Aug,63,540,1998,213
2-Aug,9,1329,1998,214
3-Aug,42,1950,1998,215
4-Aug,12,1068,1998,216
5-Aug,18,1116,1998,217
6-Aug,6,1452,1998,218
7-Aug,6,1038,1998,219
8-Aug,12,600,1998,220
9-Aug,0,855,1998,221
10-Jul,3,0,1999,191
11-Jul,39,0,1999,192
12-Jul,63,0,1999,193
13-Jul,21,0,1999,194
14-Jul,36,0,1999,195
15-Jul,84,0,1999,196
16-Jul,246,0,1999,197
17-Jul,192,0,1999,198
