"","2025-06-23","2025-06-24","2025-06-25","2025-06-26","2025-06-27","2025-06-28","2025-06-29","2025-06-30","2025-07-01","2025-07-02","2025-07-03","2025-07-04","2025-07-05","2025-07-06","2025-07-07","2025-07-08","2025-07-09","2025-07-10","2025-07-11","2025-07-12","2025-07-13","2025-07-14","2025-07-15","2025-07-16","2025-07-17","2025-07-18","2025-07-19","2025-07-20","2025-07-21","2025-07-22","2025-07-23","2025-07-24","2025-07-25","2025-07-26","2025-07-27","2025-07-28","2025-07-29","2025-07-30","2025-07-31","2025-08-01","2025-08-02","2025-08-03","2025-08-04","2025-08-05","2025-08-06","2025-08-07","2025-08-08","2025-08-09","2025-08-10","2025-08-11","2025-08-12","2025-08-13","2025-08-14","2025-08-15","2025-08-16","2025-08-17","2025-08-18","2025-08-19","2025-08-20","2025-08-21"
"2025-06-23",1.34748944292495,0.0122086169973501,0.0395559927204255,0.00909198587504757,0.006314934459834,0.0113602888203465,0.0117997304231442,0.022652215437553,0.0550353468682062,-0.14641670071992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319884207970394,0,0.224604936252144,0.0446014666899176,0.142725006426175,0,0,0,0,0,0,0,0,0,0,0.140055619145323,0.131863082568027,0.152362916923011,-0.136850557280994,-0.00594098961320942,0.0298328658608421
"2025-06-24",0.0122086169973501,1.22851582276327,0.00657234112700005,0.00503142519130894,-0.000608521938144263,0.0292493453720008,0.00683644251913234,0.00529254903127779,-0.0261102495913528,-0.120849910208076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26884456044222,0,-0.0892149019683922,-0.363314296651744,0.101120503996253,0,0,0,0,0,0,0,0,0,0,-0.0818452522805991,-0.0117340417837074,-0.151297375400399,0.154043357697207,0.0298763533527837,0.0277572465332131
"2025-06-25",0.0395559927204255,0.00657234112700005,1.20774444645644,-0.00280782924538053,0.0134381230066602,0.114066766120071,-0.00163744102089364,-0.0752091255224501,-0.0669190199168184,0.0648172117130787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.519112851259841,0,0.114810426732809,0.427985067050689,0.335695433326492,0,0,0,0,0,0,0,0,0,0,0.106563934078676,-0.038406385452547,-0.153381275334782,0.281097280877814,-0.0160144503918002,-0.0477090862281612
"2025-06-26",0.00909198587504757,0.00503142519130894,-0.00280782924538053,1.45792772614805,0.0593932041591775,0.0626283199445192,0.030729301357238,0.018069927271019,0.0100672522847347,0.16164168069628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.528131318425285,0,-0.0746145848578294,0.658845221274375,-0.221048800405946,0,0,0,0,0,0,0,0,0,0,0.0065469278829641,-0.117380701464188,0.0560754178703733,0.230088774108033,-0.0120068539446901,0.159046446419253
"2025-06-27",0.006314934459834,-0.000608521938144263,0.0134381230066602,0.0593932041591775,1.6092707386244,0.0849795149826574,0.0748357306915085,0.117144010709994,0.0241970184015465,0.247542363766414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0772480999930253,0,0.0755253268352455,-0.0476178621134442,0.851981500149814,0,0,0,0,0,0,0,0,0,0,0.278880881385718,0.0837358591248556,0.0956332476558349,0.123522078969984,-0.0915573210043117,-0.0303132636321327
"2025-06-28",0.0113602888203465,0.0292493453720008,0.114066766120071,0.0626283199445192,0.0849795149826574,2.93683121896247,-0.00507363417927537,0.102963128223793,0.120081269277391,0.138689159234017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214875475474063,0,1.05630804835605,0.662888866306059,0.786885356402428,0,0,0,0,0,0,0,0,0,0,0.241822300557748,-0.01619614049929,0.0947450445730853,0.0725631569820953,0.0262732302315674,0.194261000682135
"2025-06-29",0.0117997304231442,0.00683644251913234,-0.00163744102089364,0.030729301357238,0.0748357306915085,-0.00507363417927537,2.76287843648195,0.110047064535956,0.147713459751376,0.203404268198235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366060121652585,0,0.735662860900204,0.514449628006943,0.915123472272037,0,0,0,0,0,0,0,0,0,0,0.118435882523437,0.291411004655989,0.117730637104275,0.0795290287803968,0.315137890079968,0.154370943571045
"2025-06-30",0.022652215437553,0.00529254903127779,-0.0752091255224501,0.018069927271019,0.117144010709994,0.102963128223793,0.110047064535956,3.75528927467524,0.696632894214521,0.486648850326259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01037536704468,0,1.12760150354434,-0.665912148746978,1.49297808999083,0,0,0,0,0,0,0,0,0,0,-0.202556716173557,0.364502319058559,0.161897366324472,0.277616128091739,0.0636409723776598,0.177358838934355
"2025-07-01",0.0550353468682062,-0.0261102495913528,-0.0669190199168184,0.0100672522847347,0.0241970184015465,0.120081269277391,0.147713459751376,0.696632894214521,6.54055737370173,0.475263417325592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70518467957374,0,1.82859129134566,1.36547182065351,1.48803557023187,0,0,0,0,0,0,0,0,0,0,0.304147023450756,0.987612578190478,0.622303539805967,0.19988723987026,0.531732134906218,0.584344616822839
"2025-07-02",-0.14641670071992,-0.120849910208076,0.0648172117130787,0.16164168069628,0.247542363766414,0.138689159234017,0.203404268198235,0.486648850326259,0.475263417325592,13.5610538057941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57080767039503,0,0.181101681722983,1.54217886860833,1.97116589530673,0,0,0,0,0,0,0,0,0,0,0.464970374929262,0.408429271167955,0.340317840371744,1.24942242514752,0.696923004828985,1.02246464638728
