"","DailyEst","DailyVar","DailyMethod","vis_count_raw","vis_count_expanded","vis_var_expansion","vis_nperiods1","vis_nperiods2","vis_nperiods3","sonar_count_raw","sonar_count_expanded","sonar_var_expansion","sonar_nperiods1","sonar_nperiods2","sonar_nperiods3","sonar_var_assign_raw","sonar_var_assign_expanded","sonar_var_total","650thresh_count_raw","650thresh_count_expanded","650thresh_var_expansion","interp_count","interp_var","hierinterp","hierinterp_var"
"2025-06-23",0.0218935465837616,1.2912908777152,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0.0218935465837616,1.2912908777152
"2025-06-24",-0.00456977098692352,1.26461705290952,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,-0.00456977098692352,1.26461705290952
"2025-06-25",0.0258303720777583,1.15509429879571,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0.0258303720777583,1.15509429879571
"2025-06-26",-0.0121210616155522,1.22661743772426,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,-0.0121210616155522,1.22661743772426
"2025-06-27",0.0179495537821838,1.18362614947596,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0.0179495537821838,1.18362614947596
"2025-06-28",0.0251218834970633,1.50697984286642,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0.0251218834970633,1.50697984286642
"2025-06-29",0.0594063981203765,1.51262249866534,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0.0594063981203765,1.51262249866534
"2025-06-30",0.14421605501761,1.96732581197337,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0.14421605501761,1.96732581197337
"2025-07-01",0.239174565752006,1.81910395412263,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0.239174565752006,1.81910395412263
"2025-07-02",0.40134378980814,2.72141568130613,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0.40134378980814,2.72141568130613
